,Day,Month,Year,DAP,Stage,WC(1.20)a,Raina,Irri,Surf,Infilt,RO,Drain,CR,Zgwta,Ex,E,E/Ex,Trxa,Tra,Tr/Trx,ETx,ET,ET/ETx,GD,Za,StExp,StSto,StSen,StSalta,StWeed,CC,CCw,StTr,Kc(Tr),Trxb,Trb,TrW,Tr/Trxb,WP,Biomass,HI,Y(dry),Y(fresh),Brelative,WPet,Bin,Bout,WC(1.20)b,Wr(0.40),Zb,Wr,Wr(SAT),Wr(FC),Wr(exp),Wr(sto),Wr(sen),Wr(PWP),SaltIn,SaltOut,SaltUp,Salt(1.20),SaltZ,Zc,ECe,ECsw,StSaltb,Zgwtb,ECgw,WC01,WC 2,WC 3,WC 4,WC 5,WC 6,WC 7,WC 8,WC 9,WC10,WC11,WC12,ECe01,ECe 2,ECe 3,ECe 4,ECe 5,ECe 6,ECe 7,ECe 8,ECe 9,ECe10,ECe11,ECe12,Rainb,ETo,Tmin,Tavg,Tmax,CO2
0,14,6,2007,1,1,448.2,0.2,0.0,0.0,0.2,0.0,0.0,0.0,-9.9,2.2,2.0,92,0.0,0.0,100,2.2,2.0,92,12.8,0.3,-9,-9,-9,0,-9,0.0,0.0,0,-9.0,0.0,0.0,0.0,100,0.0,0.0,-9.9,0.0,0.0,-9,0.0,0.0,0.0,448.2,448.2,0.3,88.2,150.0,90.0,78.0,49.2,48.0,30.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0,-9.9,-9.0,28.2,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.0,8.1,14.8,21.5,384.02
1,15,6,2007,2,1,448.2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-9.9,1.0,1.0,100,0.0,0.0,100,1.0,1.0,100,11.5,0.3,-9,-9,-9,0,-9,0.0,0.0,0,-9.0,0.0,0.0,0.0,100,0.0,0.0,-9.9,0.0,0.0,-9,0.0,0.0,0.0,448.2,448.2,0.3,88.2,150.0,90.0,78.0,47.5,48.0,30.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0,-9.9,-9.0,28.2,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9,9.8,13.5,17.2,384.02
2,16,6,2007,3,1,448.8,2.2,0.0,0.0,2.2,0.0,0.0,0.0,-9.9,1.6,1.6,100,0.0,0.0,100,1.6,1.6,100,11.1,0.3,-9,-9,-9,0,-9,0.0,0.0,0,-9.0,0.0,0.0,0.0,100,0.0,0.0,-9.9,0.0,0.0,-9,0.0,0.0,0.0,448.8,448.8,0.3,88.8,150.0,90.0,78.0,48.3,48.0,30.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0,-9.9,-9.0,28.8,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,1.4,10.0,13.1,16.2,384.02
3,17,6,2007,4,1,445.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.9,3.6,3.2,90,0.0,0.0,100,3.6,3.2,90,12.8,0.3,-9,-9,-9,0,-9,0.0,0.0,0,-9.0,0.0,0.0,0.0,100,0.0,0.0,-9.9,0.0,0.0,-9,0.0,0.0,0.0,445.6,445.6,0.3,85.6,150.0,90.0,78.0,51.2,48.0,30.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0,-9.9,-9.0,25.6,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,9.3,14.8,20.4,384.02
4,18,6,2007,5,1,442.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.9,4.1,2.7,65,0.0,0.0,100,4.1,2.7,65,12.3,0.3,-9,-9,-9,0,-9,0.0,0.0,0,-9.0,0.0,0.0,0.0,100,0.0,0.0,-9.9,0.0,0.0,-9,0.0,0.0,0.0,442.9,442.9,0.3,82.9,150.0,90.0,78.0,52.0,48.0,30.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0,-9.9,-9.0,22.9,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,8.2,14.3,20.4,384.02
5,19,6,2007,6,1,448.0,7.4,0.0,0.0,7.4,0.0,0.0,0.0,-9.9,2.3,2.3,100,0.0,0.0,100,2.3,2.3,100,11.8,0.3,-9,-9,-9,0,-9,0.0,0.0,0,-9.0,0.0,0.0,0.0,100,0.0,0.0,-9.9,0.0,0.0,-9,0.0,0.0,0.0,448.0,448.0,0.3,88.0,150.0,90.0,78.0,49.4,48.0,30.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0,-9.9,-9.0,28.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4,2.1,8.1,13.8,19.5,384.02
6,20,6,2007,7,1,446.7,0.2,0.0,0.0,0.2,0.0,0.0,0.0,-9.9,1.6,1.5,94,0.0,0.0,100,1.6,1.5,94,12.4,0.3,-9,-9,-9,0,-9,0.0,0.0,0,-9.0,0.0,0.0,0.0,100,0.0,0.0,-9.9,0.0,0.0,-9,0.0,0.0,0.0,446.7,446.7,0.3,86.7,150.0,90.0,78.0,48.3,48.0,30.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0,-9.9,-9.0,26.7,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.4,9.7,14.4,19.2,384.02
7,21,6,2007,8,1,445.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.9,1.7,1.3,80,0.0,0.0,100,1.7,1.3,80,11.7,0.3,-9,-9,-9,0,-9,0.0,0.0,0,-9.0,0.0,0.0,0.0,100,0.0,0.0,-9.9,0.0,0.0,-9,0.0,0.0,0.0,445.4,445.4,0.3,85.4,150.0,90.0,78.0,48.4,48.0,30.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0,-9.9,-9.0,25.4,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,9.0,13.7,18.4,384.02
8,22,6,2007,9,1,443.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.9,2.4,1.6,67,0.0,0.0,100,2.4,1.6,67,10.1,0.3,-9,-9,-9,0,-9,0.0,0.0,0,-9.0,0.0,0.0,0.0,100,0.0,0.0,-9.9,0.0,0.0,-9,0.0,0.0,0.0,443.7,443.7,0.3,83.7,150.0,90.0,78.0,49.5,48.0,30.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0,-9.9,-9.0,23.7,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,9.6,12.1,14.6,384.02
9,23,6,2007,10,1,441.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.9,3.5,1.9,55,0.0,0.0,100,3.5,1.9,55,12.1,0.3,-9,-9,-9,0,-9,0.0,0.0,0,-9.0,0.0,0.0,0.0,100,0.0,0.0,-9.9,0.0,0.0,-9,0.0,0.0,0.0,441.8,441.8,0.3,82.5,151.0,90.6,78.5,51.4,48.3,30.2,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0,-9.9,-9.0,21.8,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,11.0,14.1,17.1,384.02
10,24,6,2007,11,1,440.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.9,3.3,1.5,45,0.0,0.0,100,3.3,1.5,45,13.0,0.34,-9,-9,-9,0,-9,0.0,0.0,0,-9.0,0.0,0.0,0.0,100,0.0,0.0,-9.9,0.0,0.0,-9,0.0,0.0,0.0,440.4,440.4,0.34,92.6,170.5,102.3,88.6,57.7,54.5,34.1,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0,-9.9,-9.0,20.4,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.5,15.0,21.5,384.02
11,25,6,2007,12,1,439.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.9,2.9,1.1,39,0.0,0.0,100,2.9,1.1,39,13.0,0.37,-9,-9,-9,0,-9,0.0,0.0,0,-9.0,0.0,0.0,0.0,100,0.0,0.0,-9.9,0.0,0.0,-9,0.0,0.0,0.0,439.2,439.2,0.37,101.6,187.3,112.4,97.4,62.8,59.9,37.5,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0,-9.9,-9.0,19.2,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,12.8,15.0,17.2,384.02
12,26,6,2007,13,1,438.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.9,3.6,1.2,34,0.0,0.0,100,3.6,1.2,34,16.2,0.41,-9,-9,-9,0,-9,0.0,0.0,0,-9.0,0.0,0.0,0.0,100,0.0,0.0,-9.9,0.0,0.0,-9,0.0,0.0,0.0,438.0,438.0,0.41,111.8,206.3,123.8,107.3,70.4,66.0,41.3,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0,-9.9,-9.0,18.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,13.6,18.2,22.9,384.02
13,27,6,2007,14,1,437.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.9,1.7,0.5,30,0.0,0.0,100,1.7,0.5,30,12.8,0.44,-9,-9,-9,0,-9,0.0,0.0,0,-9.0,0.0,0.0,0.0,100,0.0,0.0,-9.9,0.0,0.0,-9,0.0,0.0,0.0,437.5,437.5,0.44,119.5,219.9,132.0,114.4,71.2,70.4,44.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0,-9.9,-9.0,17.5,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,12.0,14.8,17.5,384.02
14,28,6,2007,15,1,436.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.9,3.1,0.9,28,0.0,0.0,100,3.1,0.9,28,11.8,0.46,-9,-9,-9,0,-9,0.0,0.0,0,-9.0,0.0,0.0,0.0,100,0.0,0.0,-9.9,0.0,0.0,-9,0.0,0.0,0.0,436.6,436.6,0.46,125.8,231.9,139.1,120.6,78.2,74.2,46.4,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0,-9.9,-9.0,16.6,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,10.6,13.8,17.0,384.02
15,29,6,2007,16,1,435.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.9,3.5,0.9,25,0.0,0.0,100,3.5,0.9,25,12.0,0.49,-9,-9,-9,0,-9,0.0,0.0,0,-9.0,0.0,0.0,0.0,100,0.0,0.0,-9.9,0.0,0.0,-9,0.0,0.0,0.0,435.8,435.8,0.49,131.9,243.5,146.1,126.6,82.9,77.9,48.7,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0,-9.9,-9.0,15.8,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,10.1,14.0,17.9,384.02
16,30,6,2007,17,1,434.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.9,3.6,0.8,23,0.0,0.0,100,3.6,0.9,24,10.0,0.51,-9,0,0,0,0,0.7,0.7,0,0.01,0.0,0.0,0.0,100,18.7,0.002,-9.9,0.0,0.0,100,0.0,0.0,0.0,434.9,434.9,0.51,136.7,252.9,151.7,125.2,86.5,77.0,50.6,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0,-9.9,-9.0,14.9,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,7.7,12.0,16.4,384.02
