,planting_date,harvest_date,yield_fresh_ton_per_ha,Tmax_at_planting,Tmin_at_planting,growing_days
2007-01-01,2007-01-01,2007-02-28,39.756,20.6,6.0,59
2007-01-04,2007-01-04,2007-03-03,39.843,19.6,7.1,59
2007-01-07,2007-01-07,2007-03-08,38.682,11.7,6.0,61
2007-01-10,2007-01-10,2007-03-10,37.119,10.8,6.0,60
2007-01-13,2007-01-13,2007-03-12,37.412,10.1,6.0,59
2007-01-16,2007-01-16,2007-03-13,37.638,6.0,6.0,57
2007-01-19,2007-01-19,2007-03-14,37.329,18.6,6.0,55
2007-01-22,2007-01-22,2007-03-16,35.997,24.5,6.0,54
2007-01-25,2007-01-25,2007-03-19,35.838,6.0,6.0,54
2007-01-28,2007-01-28,2007-03-20,35.866,15.9,6.0,52
2007-01-31,2007-01-31,2007-03-22,36.11,18.6,6.0,51
2007-02-03,2007-02-03,2007-03-23,35.068,10.5,6.0,49
2007-02-06,2007-02-06,2007-03-24,35.037,25.0,6.0,47
2007-02-09,2007-02-09,2007-03-27,35.853,18.0,6.0,47
2007-02-12,2007-02-12,2007-03-29,34.342,24.1,6.0,46
2007-02-15,2007-02-15,2007-03-31,34.719,10.7,6.0,45
2007-02-18,2007-02-18,2007-04-03,35.391,16.3,6.0,45
2007-02-21,2007-02-21,2007-04-05,34.883,25.0,6.0,44
2007-02-24,2007-02-24,2007-04-08,35.424,25.0,6.0,44
2007-02-27,2007-02-27,2007-04-10,34.264,25.0,6.0,43
2007-03-02,2007-03-02,2007-04-13,34.825,25.0,6.0,43
2007-03-05,2007-03-05,2007-04-17,36.04,8.7,6.0,44
2007-03-08,2007-03-08,2007-04-18,35.621,25.0,6.0,42
2007-03-11,2007-03-11,2007-04-21,35.321,25.0,6.0,42
2007-03-14,2007-03-14,2007-04-24,34.991,25.0,6.0,42
2007-03-17,2007-03-17,2007-04-27,34.92,25.0,6.0,42
2007-03-20,2007-03-20,2007-04-30,34.616,25.0,6.0,42
2007-03-23,2007-03-23,2007-05-03,34.905,25.0,6.0,42
2007-03-26,2007-03-26,2007-05-06,34.468,14.3,6.0,42
2007-03-29,2007-03-29,2007-05-08,33.231,25.0,6.0,41
2007-04-01,2007-04-01,2007-05-11,32.874,19.6,6.0,41
2007-04-04,2007-04-04,2007-05-14,33.116,10.6,6.0,41
2007-04-07,2007-04-07,2007-05-16,32.385,25.0,6.0,40
2007-04-10,2007-04-10,2007-05-19,32.177,25.0,6.0,40
2007-04-13,2007-04-13,2007-05-22,32.399,21.7,6.0,40
2007-04-16,2007-04-16,2007-05-24,31.619,19.2,6.0,39
2007-04-19,2007-04-19,2007-05-26,30.934,25.0,6.0,38
2007-04-22,2007-04-22,2007-05-29,31.055,25.0,6.0,38
2007-04-25,2007-04-25,2007-06-01,31.043,25.0,6.0,38
2007-04-28,2007-04-28,2007-06-03,29.778,17.2,6.0,37
2007-05-01,2007-05-01,2007-06-05,28.855,25.0,6.0,36
2007-05-04,2007-05-04,2007-06-08,28.996,25.0,6.0,36
2007-05-07,2007-05-07,2007-06-10,27.741,25.0,7.6,35
2007-05-10,2007-05-10,2007-06-13,27.794,25.0,9.0,35
2007-05-13,2007-05-13,2007-06-16,28.019,25.0,6.6,35
2007-05-16,2007-05-16,2007-06-18,27.328,25.0,6.3,34
2007-05-19,2007-05-19,2007-06-20,27.818,25.0,6.5,33
2007-05-22,2007-05-22,2007-06-23,26.934,25.0,6.0,33
2007-05-25,2007-05-25,2007-06-25,26.019,25.0,10.6,32
2007-05-28,2007-05-28,2007-06-28,26.137,25.0,11.1,32
2007-05-31,2007-05-31,2007-07-01,26.226,25.0,8.0,32
2007-06-03,2007-06-03,2007-07-03,25.051,25.0,9.2,31
2007-06-06,2007-06-06,2007-07-06,25.148,25.0,10.8,31
2007-06-09,2007-06-09,2007-07-09,25.4,25.0,11.1,31
2007-06-12,2007-06-12,2007-07-12,25.358,25.0,10.0,31
2007-06-15,2007-06-15,2007-07-15,25.797,25.0,10.8,31
2007-06-18,2007-06-18,2007-07-17,23.279,25.0,12.5,30
2007-06-21,2007-06-21,2007-07-20,24.764,25.0,12.0,30
2007-06-24,2007-06-24,2007-07-23,24.835,25.0,11.7,30
2007-06-27,2007-06-27,2007-07-25,21.886,25.0,14.5,29
2007-06-30,2007-06-30,2007-07-28,23.25,25.0,12.0,29
2007-07-03,2007-07-03,2007-07-31,23.515,25.0,11.5,29
2007-07-06,2007-07-06,2007-08-02,21.111,25.0,13.4,28
2007-07-09,2007-07-09,2007-08-05,21.461,25.0,12.4,28
2007-07-12,2007-07-12,2007-08-08,21.738,25.0,12.6,28
2007-07-15,2007-07-15,2007-08-11,21.996,25.0,14.3,28
2007-07-18,2007-07-18,2007-08-14,22.36,25.0,15.2,28
2007-07-21,2007-07-21,2007-08-17,22.494,25.0,14.5,28
2007-07-24,2007-07-24,2007-08-20,22.549,25.0,14.5,28
2007-07-27,2007-07-27,2007-08-23,23.714,25.0,16.2,28
2007-07-30,2007-07-30,2007-08-27,23.325,25.0,16.1,29
2007-08-02,2007-08-02,2007-08-30,23.036,25.0,16.9,29
2007-08-05,2007-08-05,2007-09-02,22.829,25.0,13.7,29
2007-08-08,2007-08-08,2007-09-05,22.734,25.0,13.6,29
2007-08-11,2007-08-11,2007-09-08,22.851,25.0,14.5,29
2007-08-14,2007-08-14,2007-09-11,22.896,25.0,13.3,29
2007-08-17,2007-08-17,2007-09-14,22.84,25.0,14.7,29
2007-08-20,2007-08-20,2007-09-18,25.762,25.0,10.8,30
2007-08-23,2007-08-23,2007-09-21,24.745,25.0,15.0,30
2007-08-26,2007-08-26,2007-09-24,24.336,25.0,16.7,30
2007-08-29,2007-08-29,2007-09-27,24.147,25.0,15.6,30
2007-09-01,2007-09-01,2007-09-30,23.698,25.0,12.8,30
2007-09-04,2007-09-04,2007-10-04,24.954,25.0,12.2,31
2007-09-07,2007-09-07,2007-10-07,24.806,25.0,15.4,31
2007-09-10,2007-09-10,2007-10-10,24.465,25.0,14.3,31
2007-09-13,2007-09-13,2007-10-14,27.237,25.0,11.4,32
2007-09-16,2007-09-16,2007-10-17,27.416,25.0,9.2,32
2007-09-19,2007-09-19,2007-10-20,27.651,25.0,11.6,32
2007-09-22,2007-09-22,2007-10-23,26.037,25.0,14.0,32
2007-09-25,2007-09-25,2007-10-27,26.856,25.0,16.5,33
2007-09-28,2007-09-28,2007-10-31,27.581,25.0,12.3,34
2007-10-01,2007-10-01,2007-11-04,30.46,25.0,10.2,35
2007-10-04,2007-10-04,2007-11-08,31.523,25.0,12.1,36
2007-10-07,2007-10-07,2007-11-13,33.362,25.0,7.7,38
2007-10-10,2007-10-10,2007-11-17,34.922,25.0,11.5,39
2007-10-13,2007-10-13,2007-11-20,34.406,25.0,8.2,39
2007-10-16,2007-10-16,2007-11-26,38.196,25.0,8.7,42
2007-10-19,2007-10-19,2007-12-01,37.524,25.0,13.0,44
2007-10-22,2007-10-22,2007-12-11,40.407,25.0,13.2,51
2007-10-25,2007-10-25,2007-12-20,43.978,25.0,6.5,57
2007-10-28,2007-10-28,2007-12-23,42.967,25.0,6.0,57
2007-10-31,2007-10-31,2007-12-28,43.574,25.0,10.6,59
2007-11-03,2007-11-03,2008-01-04,42.369,25.0,6.0,63
2007-11-06,2007-11-06,2008-01-07,40.274,25.0,6.0,63
2007-11-09,2007-11-09,2008-01-11,39.423,9.6,6.0,64
2007-11-12,2007-11-12,2008-01-14,38.57,12.4,6.0,64
2007-11-15,2007-11-15,2008-01-19,37.934,18.8,6.0,66
2007-11-18,2007-11-18,2008-01-24,37.613,25.0,6.0,68
2007-11-21,2007-11-21,2008-01-28,37.91,14.9,6.0,69
2007-11-24,2007-11-24,2008-01-30,37.814,24.3,6.0,68
2007-11-27,2007-11-27,2008-02-01,37.291,25.0,6.0,67
2007-11-30,2007-11-30,2008-02-06,38.092,7.5,6.0,69
2007-12-03,2007-12-03,2008-02-08,39.046,10.1,6.0,68
2007-12-06,2007-12-06,2008-02-11,40.431,12.6,6.0,68
2007-12-09,2007-12-09,2008-02-13,40.422,6.0,6.0,67
2007-12-12,2007-12-12,2008-02-14,39.857,7.9,6.0,65
2007-12-15,2007-12-15,2008-02-15,39.869,8.8,6.0,63
2007-12-18,2007-12-18,2008-02-17,40.114,6.0,6.0,62
2007-12-21,2007-12-21,2008-02-18,39.847,21.4,6.0,60
2007-12-24,2007-12-24,2008-02-21,39.239,25.0,6.0,60
2007-12-27,2007-12-27,2008-02-23,38.288,8.7,6.0,59
2007-12-30,2007-12-30,2008-02-25,38.398,6.5,6.0,58
