datetime,Day,Month,Year,Tmin(C),Tmax(C),Prcp(mm),ET0
2006-12-31,31,12,2006,6.0,6.0,0.0,0.0
2007-01-01,1,1,2007,6.0,9.432394366197185,0.0,0.1
2007-01-02,2,1,2007,6.0,20.618309859154934,0.0,0.3
2007-01-03,3,1,2007,6.0,25.0,0.0,0.4
2007-01-04,4,1,2007,6.0,25.0,0.0,0.5
2007-01-05,5,1,2007,7.1,19.647887323943664,0.0,0.32
2007-01-06,6,1,2007,9.8,18.326760563380283,0.0,0.31
2007-01-07,7,1,2007,6.0,25.0,0.0,0.47000000000000003
2007-01-08,8,1,2007,6.0,11.704225352112676,0.0,0.16
2007-01-09,9,1,2007,6.0,25.0,0.0,0.38
2007-01-10,10,1,2007,6.0,25.0,0.0,0.2
2007-01-11,11,1,2007,6.0,10.784507042253523,0.0,0.11
2007-01-12,12,1,2007,6.0,15.75492957746479,0.0,0.18
2007-01-13,13,1,2007,6.0,12.560563380281693,0.0,0.16
2007-01-14,14,1,2007,6.0,10.109859154929579,0.0,0.14
2007-01-15,15,1,2007,6.0,6.0,0.0,0.060000000000000005
2007-01-16,16,1,2007,6.0,6.0,0.0,0.05
2007-01-17,17,1,2007,6.0,6.0,0.0,0.060000000000000005
2007-01-18,18,1,2007,6.0,10.136619718309863,0.0,0.16
2007-01-19,19,1,2007,6.0,12.204225352112676,0.0,0.18
2007-01-20,20,1,2007,6.0,18.566197183098595,0.0,0.42
2007-01-21,21,1,2007,6.0,18.985915492957748,0.0,0.32
2007-01-22,22,1,2007,6.0,23.902816901408457,0.0,0.9400000000000001
2007-01-23,23,1,2007,6.0,24.478873239436624,0.0,0.05
2007-01-24,24,1,2007,6.0,25.0,0.0,0.07
2007-01-25,25,1,2007,6.0,17.894366197183103,0.0,0.06
2007-01-26,26,1,2007,6.0,6.0,0.0,0.02
2007-01-27,27,1,2007,6.0,8.46197183098592,0.0,0.05
2007-01-28,28,1,2007,6.0,10.54929577464789,0.0,0.06
2007-01-29,29,1,2007,6.0,15.852112676056343,0.0,0.06
2007-01-30,30,1,2007,6.0,12.061971830985916,0.0,0.05
2007-01-31,31,1,2007,6.0,14.329577464788736,0.0,0.05
2007-02-01,1,2,2007,6.0,18.59577464788733,0.0,0.06
2007-02-02,2,2,2007,6.0,7.11830985915493,0.0,0.06
2007-02-03,3,2,2007,6.0,14.369014084507041,0.0,0.07
2007-02-04,4,2,2007,6.0,10.480281690140847,0.0,0.04
2007-02-05,5,2,2007,6.0,6.0,0.0,0.02
2007-02-06,6,2,2007,6.0,9.764788732394372,0.0,0.04
2007-02-07,7,2,2007,6.0,25.0,0.0,0.08
2007-02-08,8,2,2007,6.0,9.470422535211272,0.0,0.04
2007-02-09,9,2,2007,6.0,20.48169014084507,0.0,0.06
2007-02-10,10,2,2007,6.0,17.953521126760563,0.0,0.08
2007-02-11,11,2,2007,6.0,25.0,0.0,0.11
2007-02-12,12,2,2007,6.0,25.0,0.0,0.11
2007-02-13,13,2,2007,6.0,24.098591549295783,0.0,0.08
2007-02-14,14,2,2007,6.0,7.059154929577466,0.0,0.04
2007-02-15,15,2,2007,6.0,11.773239436619722,0.0,0.09
2007-02-16,16,2,2007,6.0,10.694366197183104,0.0,0.05
2007-02-17,17,2,2007,6.0,25.0,0.0,0.15
2007-02-18,18,2,2007,6.0,25.0,0.0,0.12
2007-02-19,19,2,2007,6.0,16.250704225352116,0.0,0.08
2007-02-20,20,2,2007,6.0,8.897183098591551,0.0,0.07
2007-02-21,21,2,2007,6.0,25.0,0.0,0.15
2007-02-22,22,2,2007,6.0,25.0,0.0,0.16
2007-02-23,23,2,2007,6.0,25.0,0.0,0.15
2007-02-24,24,2,2007,6.0,13.369014084507041,0.0,0.1
2007-02-25,25,2,2007,6.0,25.0,0.0,0.25
2007-02-26,26,2,2007,6.0,25.0,0.0,0.18
2007-02-27,27,2,2007,6.0,16.50422535211268,0.0,0.11
2007-02-28,28,2,2007,6.0,25.0,0.0,0.21000000000000002
2007-03-01,1,3,2007,6.0,25.0,0.0,0.29
2007-03-02,2,3,2007,6.0,12.56197183098592,0.0,0.07
2007-03-03,3,3,2007,6.0,25.0,0.0,0.4
2007-03-04,4,3,2007,6.0,25.0,0.0,0.29
2007-03-05,5,3,2007,6.0,25.0,0.0,0.33
2007-03-06,6,3,2007,6.0,8.735211267605635,0.0,0.12
2007-03-07,7,3,2007,6.0,16.685915492957747,0.0,0.14
2007-03-08,8,3,2007,6.0,7.429577464788736,0.0,0.21
2007-03-09,9,3,2007,6.0,25.0,0.0,1.06
2007-03-10,10,3,2007,6.0,25.0,0.0,0.14
2007-03-11,11,3,2007,6.0,24.89577464788733,0.0,0.11
2007-03-12,12,3,2007,6.0,25.0,0.0,0.26
2007-03-13,13,3,2007,6.0,25.0,0.0,0.28
2007-03-14,14,3,2007,6.0,25.0,0.0,0.34
2007-03-15,15,3,2007,6.0,25.0,0.0,0.23
2007-03-16,16,3,2007,6.0,20.912676056338032,0.0,0.09
2007-03-17,17,3,2007,6.0,25.0,0.0,0.2
2007-03-18,18,3,2007,6.0,25.0,0.0,0.16
2007-03-19,19,3,2007,6.0,25.0,0.0,0.22
2007-03-20,20,3,2007,6.0,25.0,0.0,0.22
2007-03-21,21,3,2007,6.0,25.0,0.0,0.22
2007-03-22,22,3,2007,6.0,16.095774647887325,0.0,0.14
2007-03-23,23,3,2007,6.0,25.0,0.0,0.43
2007-03-24,24,3,2007,6.0,25.0,0.0,0.31
2007-03-25,25,3,2007,6.0,25.0,0.0,0.25
2007-03-26,26,3,2007,6.0,25.0,0.0,0.22
2007-03-27,27,3,2007,6.0,14.292957746478873,0.0,0.1
2007-03-28,28,3,2007,6.0,25.0,0.0,0.39
2007-03-29,29,3,2007,6.0,25.0,0.0,0.27
2007-03-30,30,3,2007,6.0,25.0,0.0,0.28
2007-03-31,31,3,2007,6.0,25.0,0.0,0.33
2007-04-01,1,4,2007,6.0,25.0,0.0,0.36
2007-04-02,2,4,2007,6.0,19.587323943661975,0.0,0.12000000000000001
2007-04-03,3,4,2007,6.0,23.576056338028174,0.0,0.13
2007-04-04,4,4,2007,6.0,25.0,0.0,0.34
2007-04-05,5,4,2007,6.0,10.583098591549296,0.0,0.09
2007-04-06,6,4,2007,6.0,25.0,0.0,0.26
2007-04-07,7,4,2007,6.0,25.0,0.0,0.16
2007-04-08,8,4,2007,6.0,25.0,0.0,0.27
2007-04-09,9,4,2007,6.0,25.0,0.0,0.32
2007-04-10,10,4,2007,6.0,25.0,0.0,0.47000000000000003
2007-04-11,11,4,2007,6.0,25.0,0.0,1.31
2007-04-12,12,4,2007,6.0,25.0,0.0,0.3
2007-04-13,13,4,2007,6.0,19.65211267605634,0.0,0.1
2007-04-14,14,4,2007,6.0,21.746478873239443,0.0,0.13
2007-04-15,15,4,2007,6.0,25.0,0.0,0.26
2007-04-16,16,4,2007,6.0,16.41267605633803,0.0,0.1
2007-04-17,17,4,2007,6.0,19.1887323943662,0.0,0.14
2007-04-18,18,4,2007,6.0,18.6,0.0,0.12
2007-04-19,19,4,2007,6.0,25.0,0.0,0.28
2007-04-20,20,4,2007,6.0,25.0,0.0,0.52
2007-04-21,21,4,2007,6.0,25.0,0.0,0.62
2007-04-22,22,4,2007,6.0,25.0,0.0,0.51
2007-04-23,23,4,2007,6.0,25.0,0.0,0.64
