,harvest_tones
2007-01-01,0.0
2007-01-08,0.0
2007-01-15,0.0
2007-01-22,0.0
2007-01-29,0.0
2007-02-05,0.0
2007-02-12,0.0
2007-02-19,0.0
2007-02-26,0.0
2007-03-05,30.00000007262544
2007-03-12,29.999999968493125
2007-03-19,29.99999995695797
2007-03-26,29.999999969747567
2007-04-02,29.9999998616012
2007-04-09,29.99999994133217
2007-04-16,30.000000044650847
2007-04-23,30.000000049216634
2007-04-30,29.999998312980033
2007-05-07,30.000000061164798
2007-05-14,29.99999999019528
2007-05-21,29.999999947480248
2007-05-28,30.000000204222147
2007-06-04,30.000000001346525
2007-06-11,30.0000000468621
2007-06-18,29.999999948971507
2007-06-25,30.000000108242737
2007-07-02,29.999999977858817
2007-07-09,29.999999907353374
2007-07-16,30.000000000818417
2007-07-23,30.000008457250118
2007-07-30,30.00000000278322
2007-08-06,30.000000056244904
2007-08-13,30.000000066648703
2007-08-20,30.000000056546813
2007-08-27,29.999999980975268
2007-09-03,29.9999999961527
2007-09-10,29.99999990666339
2007-09-17,30.000000756546605
2007-09-24,30.000000040744833
2007-10-01,29.999999989638077
2007-10-08,30.00000001070449
2007-10-15,29.99999428687241
2007-10-22,29.999999943754194
2007-10-29,29.99999995081096
2007-11-05,29.99999998788467
2007-11-12,30.00000144229476
2007-11-19,30.00000017715395
2007-11-26,29.999999149551996
2007-12-03,29.999999789115268
2007-12-10,30.00018320898288
2007-12-17,30.000000184578727
2007-12-24,30.00000003134442
2007-12-31,29.999999963520157
2008-01-07,29.999446311222083
2008-01-14,30.000000146760094
2008-01-21,30.000000016843046
2008-01-28,29.999999935959053
2008-02-04,30.000000059315536
2008-02-11,29.99999995468941
2008-02-18,30.000000077945298
2008-02-25,30.000000000989075
