,planting_optimized_areas_ha
2007-01-01,0.07205799673811852
2007-01-03,0.3119764298124911
2007-01-05,0.3805237953325636
2007-01-07,0.054117315020672824
2007-01-09,0.15594376912563668
2007-01-11,0.01463873785531764
2007-01-13,0.05660947746274237
2007-01-15,0.5318450903474798
2007-01-17,0.032355234147399464
2007-01-19,0.38808485149179517
2007-01-21,0.039766935147619295
2007-01-23,0.35963623301464076
2007-01-25,0.03136317843655685
2007-01-27,0.009749005445007222
2007-01-29,0.15742013770603308
2007-01-31,0.002570570299260881
2007-02-02,0.24334137127298805
2007-02-04,0.03311532840888258
2007-02-06,0.11142067565769326
2007-02-08,0.2670553280153471
2007-02-10,0.11279082015275115
2007-02-12,0.5981233258732062
2007-02-14,0.13657984145085847
2007-02-16,0.026845054245700384
2007-02-18,0.1423933927482012
2007-02-20,0.22201538991578293
2007-02-22,0.10715404522954451
2007-02-24,0.3867762462760903
2007-02-26,0.05320706036670565
2007-02-28,0.09641637215385676
2007-03-02,0.053712825705894196
2007-03-04,0.6629438244694492
2007-03-06,0.5004501925250537
2007-03-08,0.08273269825222526
2007-03-10,0.06800854965471573
2007-03-12,0.19464977831734426
2007-03-14,0.4802531815884724
2007-03-16,0.23609165318879338
2007-03-18,0.14143949988012072
2007-03-20,0.45572842712947437
2007-03-22,0.06775692404472702
2007-03-24,0.013243530720119946
2007-03-26,0.31841344124055854
2007-03-28,0.012463979309944981
2007-03-30,0.6188484452615481
2007-04-01,0.054440427364647895
2007-04-03,0.23304657622924835
2007-04-05,0.056027668629316046
2007-04-07,0.3729321855413541
2007-04-09,0.2887222052752476
2007-04-11,0.21143498921101328
2007-04-13,0.33871905519489104
2007-04-15,0.5227235670555321
2007-04-17,0.038659714966328154
2007-04-19,0.024661793095859037
2007-04-21,0.24029819082060677
2007-04-23,0.33734124805862487
2007-04-25,0.006419896826934113
2007-04-27,0.058199127499210496
2007-04-29,0.3391880843793649
2007-05-01,0.4051554760496895
2007-05-03,0.15762381653337862
2007-05-05,0.01720600324937437
2007-05-07,0.47798783163874825
2007-05-09,0.28566425867139555
2007-05-11,0.551040802687945
2007-05-13,0.17562883120169553
2007-05-15,0.06931548019413883
2007-05-17,0.2373997740460909
2007-05-19,0.09933470499858865
2007-05-21,0.7710050082388463
2007-05-23,0.004412586230750307
2007-05-25,0.48701842696784525
2007-05-27,0.6021238813174784
2007-05-29,0.025340882472698733
2007-05-31,0.03708366323388464
2007-06-02,0.12100639817580891
2007-06-04,0.5034493632628433
2007-06-06,0.4489968713259252
2007-06-08,0.13936570705591206
2007-06-10,0.16743545511162078
2007-06-12,0.8599076428469619
2007-06-14,0.12874923918572978
2007-06-16,0.03552947999102922
2007-06-18,0.1596697825308259
2007-06-20,0.2757972686283336
2007-06-22,0.7854827072869113
2007-06-24,0.21980858629087158
2007-06-26,0.2140172688653198
2007-06-28,0.5457820680938053
2007-06-30,0.09082542202541452
2007-07-02,0.23338060955514967
2007-07-04,0.03989235300654327
2007-07-06,1.3553553455172354
2007-07-08,0.019761557346564856
2007-07-10,0.015797793281360807
2007-07-12,0.6028433537381386
2007-07-14,0.22764294258282933
2007-07-16,0.5215583461213738
2007-07-18,0.09044502280143338
2007-07-20,0.8077169845780876
2007-07-22,0.43806142159911665
2007-07-24,0.06266680034136347
2007-07-26,0.8925212852083322
2007-07-28,0.3380941738463157
2007-07-30,0.030343552441507493
2007-08-01,0.41479194148039134
2007-08-03,0.17215124493279976
2007-08-05,0.7205042953181737
2007-08-07,0.06728742385449811
2007-08-09,0.03916954340027255
2007-08-11,0.755219232324303
2007-08-13,0.4520066385776277
2007-08-15,0.48890680110679796
2007-08-17,0.34730281317532546
2007-08-19,0.4740590103866479
2007-08-21,0.07034022807295848
2007-08-23,0.9904634061056421
2007-08-25,0.14983447318801987
2007-08-27,0.195508584359469
2007-08-29,0.3320340060783234
2007-08-31,0.7258467428103828
2007-09-02,0.04149782840466949
2007-09-04,0.397810019320726
2007-09-06,0.002770387282515413
2007-09-08,0.7695137144080435
2007-09-10,0.7768801347808784
2007-09-12,0.404459798736552
2007-09-14,0.2533328520569076
2007-09-16,0.20528458040007438
2007-09-18,0.40984348512409974
2007-09-20,0.23346518487432216
2007-09-22,0.028508813073074735
2007-09-24,0.61341728056365
2007-09-26,0.44075619375603536
2007-09-28,0.21074421324064296
2007-09-30,0.5745695775965611
2007-10-02,0.22051245676181863
2007-10-04,0.596094864229523
2007-10-06,0.3496024401081467
2007-10-08,0.025283217968200607
2007-10-10,0.5365548415528828
2007-10-12,0.3022394961644959
2007-10-14,0.8391138719386886
2007-10-16,0.7376508151052523
2007-10-18,0.046571956491961455
2007-10-20,0.7874890594546116
2007-10-22,0.029295436545094637
2007-10-24,0.6591696285136126
2007-10-26,0.4527166668781346
2007-10-28,0.2374859389476629
2007-10-30,0.6755247820090622
2007-11-01,0.031633300360102666
2007-11-03,0.3718456121288517
2007-11-05,0.35469919250335574
2007-11-07,0.15478473690387431
2007-11-09,0.23622620317299842
2007-11-11,0.3731606691997704
2007-11-13,0.3263091586725918
2007-11-15,0.46231017872253777
2007-11-17,0.2678369321451972
2007-11-19,0.04162271139042091
2007-11-21,0.48261725509787223
2007-11-23,0.18221430081391277
2007-11-25,0.0405225748460728
2007-11-27,0.5135593340646482
2007-11-29,0.0601038935301298
2007-12-01,0.39393127259109273
2007-12-03,0.05474627173450929
2007-12-05,0.28173495514768543
2007-12-07,0.032756570244464184
2007-12-09,0.0819991557618355
2007-12-11,0.028694531099140577
2007-12-13,0.044259074502454476
2007-12-15,0.396846695325646
2007-12-17,0.1039897847299939
2007-12-19,0.096060790686262
2007-12-21,0.16248098879646092
2007-12-23,0.013889732398590524
2007-12-25,0.23060262212254504
2007-12-27,0.22192916036601318
2007-12-29,0.09322367340479829
2007-12-31,0.04983953479084737
2008-01-02,0.0
2008-01-04,0.0
2008-01-06,0.0
2008-01-08,0.0
2008-01-10,0.0
2008-01-12,0.0
2008-01-14,0.0
2008-01-16,0.0
2008-01-18,0.0
2008-01-20,0.0
2008-01-22,0.0
2008-01-24,0.0
2008-01-26,0.0
2008-01-28,0.0
2008-01-30,0.0
2008-02-01,0.0
2008-02-03,0.0
2008-02-05,0.0
2008-02-07,0.0
2008-02-09,0.0
2008-02-11,0.0
2008-02-13,0.0
2008-02-15,0.0
2008-02-17,0.0
2008-02-19,0.0
2008-02-21,0.0
2008-02-23,0.0
2008-02-25,0.0
