,Day,Month,Year,DAP,Stage,WC(1.20)a,Raina,Irri,Surf,Infilt,RO,Drain,CR,Zgwta,Ex,E,E/Ex,Trxa,Tra,Tr/Trx,ETx,ET,ET/ETx,GD,Za,StExp,StSto,StSen,StSalta,StWeed,CC,CCw,StTr,Kc(Tr),Trxb,Trb,TrW,Tr/Trxb,WP,Biomass,HI,Y(dry),Y(fresh),Brelative,WPet,Bin,Bout,WC(1.20)b,Wr(0.40),Zb,Wr,Wr(SAT),Wr(FC),Wr(exp),Wr(sto),Wr(sen),Wr(PWP),SaltIn,SaltOut,SaltUp,Salt(1.20),SaltZ,Zc,ECe,ECsw,StSaltb,Zgwtb,ECgw,WC01,WC 2,WC 3,WC 4,WC 5,WC 6,WC 7,WC 8,WC 9,WC10,WC11,WC12,ECe01,ECe 2,ECe 3,ECe 4,ECe 5,ECe 6,ECe 7,ECe 8,ECe 9,ECe10,ECe11,ECe12,Rainb,ETo,Tmin,Tavg,Tmax,CO2
0,30,12,2007,1,1,359.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.9,0.1,0.1,100,0.0,0.0,100,0.1,0.1,100,2.3,0.3,-9,0,0,0,0,1.0,1.0,81,0.02,0.0,0.0,0.0,100,17.7,0.001,-9.9,0.0,0.0,100,0.0,0.0,0.0,359.9,119.9,0.3,89.9,150.0,90.0,64.5,51.2,34.6,30.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0,-9.9,-9.0,29.9,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,6.0,6.3,6.5,384.92
1,31,12,2007,2,2,359.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.9,0.2,0.2,99,0.0,0.0,100,0.2,0.2,99,11.5,0.3,-9,0,0,0,0,1.2,1.2,0,0.02,0.0,0.0,0.0,100,17.7,0.005,73.7,0.003,0.035,100,1.33,0.0,0.0,359.7,119.7,0.3,89.7,150.0,90.0,64.7,51.4,34.7,30.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0,-9.9,-9.0,29.7,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,6.0,15.5,25.0,384.92
2,1,1,2008,3,2,359.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.9,0.1,0.1,97,0.0,0.0,100,0.1,0.1,97,2.8,0.3,-9,0,0,0,0,1.3,1.3,71,0.02,0.0,0.0,0.0,100,17.7,0.006,76.0,0.005,0.045,100,1.36,0.0,0.0,359.7,119.7,0.3,89.7,150.0,90.0,64.5,51.2,34.6,30.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0,-9.9,-9.0,29.7,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,6.0,6.8,7.5,384.92
3,2,1,2008,4,2,359.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.9,0.0,0.0,97,0.0,0.0,100,0.0,0.0,97,2.0,0.3,0,0,0,0,0,1.3,1.3,86,0.03,0.0,0.0,0.0,100,17.7,0.007,76.9,0.005,0.051,100,1.35,0.0,0.0,359.6,119.6,0.3,89.6,150.0,90.0,64.4,51.2,34.6,30.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0,-9.9,-9.0,29.6,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,384.92
4,3,1,2008,5,2,359.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.9,0.1,0.1,96,0.0,0.0,100,0.1,0.1,96,2.0,0.3,0,0,0,0,0,1.4,1.4,86,0.03,0.0,0.0,0.0,100,17.7,0.007,77.6,0.006,0.056,100,1.32,0.0,0.0,359.6,119.6,0.3,89.6,150.0,90.0,64.4,51.2,34.6,30.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0,-9.9,-9.0,29.6,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,6.0,6.0,6.0,384.92
5,4,1,2008,6,2,359.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.9,0.1,0.1,95,0.0,0.0,100,0.1,0.1,95,2.2,0.3,0,0,0,0,0,1.4,1.4,82,0.03,0.0,0.0,0.0,100,17.7,0.008,78.4,0.006,0.064,100,1.3,0.0,0.0,359.5,119.5,0.3,89.5,150.0,90.0,64.5,51.2,34.6,30.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0,-9.9,-9.0,29.5,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,6.0,6.2,6.4,384.92
6,5,1,2008,7,2,359.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.9,0.2,0.2,94,0.0,0.0,100,0.2,0.2,94,11.5,0.32,0,0,0,0,0,1.8,1.8,0,0.03,0.0,0.0,0.0,100,17.7,0.014,81.2,0.011,0.113,100,1.65,0.0,0.0,359.3,119.3,0.32,96.7,162.3,97.4,70.0,55.7,37.6,32.5,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0,-9.9,-9.0,29.3,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,6.0,15.5,25.0,384.92
7,6,1,2008,8,2,359.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.9,0.3,0.2,92,0.0,0.0,100,0.3,0.3,92,11.4,0.35,0,0,0,0,0,2.2,2.2,0,0.04,0.0,0.0,0.0,100,17.7,0.021,82.5,0.017,0.174,100,1.85,0.0,0.0,359.1,119.1,0.35,103.9,174.7,104.8,75.6,60.1,40.5,34.9,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0,-9.9,-9.0,29.1,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,6.0,15.4,24.8,384.92
8,7,1,2008,9,2,358.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.9,0.5,0.4,89,0.0,0.0,100,0.5,0.4,89,11.5,0.37,0,0,0,0,0,2.7,2.7,0,0.05,0.0,0.0,0.0,100,17.7,0.03,83.2,0.025,0.248,100,1.81,0.0,0.0,358.6,118.6,0.37,110.4,186.2,111.7,81.0,64.4,43.4,37.2,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0,-9.9,-9.0,28.6,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,6.0,15.5,25.0,384.92
9,8,1,2008,10,2,358.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.9,0.3,0.3,85,0.0,0.0,100,0.4,0.3,86,10.4,0.39,0,0,0,0,0,3.2,3.2,0,0.06,0.0,0.0,0.0,100,17.7,0.04,83.7,0.034,0.337,100,2.02,0.0,0.0,358.3,118.3,0.39,115.9,196.0,117.6,84.9,67.5,45.5,39.2,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0,-9.9,-9.0,28.3,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,7.3,14.4,21.5,384.92
